"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"33",2847875.36871584,2929181.13061047,3024577.66596779,2809750.52380502,2708041.78841632,3120129.47315139,2865485.17806548,3021088.14088288,2666530.39455711,2758197.34560481,2873259.75490363,3183000.09395867,2975224.24844026,2964358.99029965,2984365.20194414,2864338.99705335,2983428.39021073,3212677.25753514,2794192.53878033,3517816.56631699,2802961.8953806,2944846.89729761,3460193.54179042,3064465.91188186,3056683.69717328
"34",2798213.14245009,2879167.05051922,2982040.58485203,2759631.61629706,2660218.52322449,3076673.59591441,2819019.8855532,2974933.2947683,2622171.77943953,2708369.08761325,2825543.1878687,3140140.71368078,2927912.49750706,2908550.74852368,2932741.84630997,2811617.85926049,2941495.02114255,3175667.21623555,2745834.72512308,3486323.0775519,2751752.7663364,2896914.90878994,3424328.67883823,3023355.58863408,3005288.63710227
"35",2754035.19322478,2836864.89090923,2941564.72857483,2715479.85645648,2616250.83577538,3038071.47850284,2777273.26140404,2935892.14823142,2580405.26931073,2666305.44735684,2782011.14548481,3103136.45942042,2886222.38875066,2864919.50505412,2890286.25677974,2768013.38832403,2900567.73454266,3142187.57520433,2701872.74865244,3453278.08951486,2708379.09670255,2857324.46530086,3391026.06779657,2979969.71067072,2962793.51691357
"36",2810252.93673459,2894847.95611222,2997543.09068913,2769331.2767754,2666946.68166687,3097311.50423885,2830962.83469277,2993789.83977289,2630128.24831556,2722195.45995629,2835411.88665102,3163194.85630496,2945841.50056547,2926874.30366819,2949019.29770813,2827972.15641174,2958414.31895068,3202833.3934345,2759334.49797761,3514502.26435929,2763768.19547133,2916789.96163769,3453969.59137806,3037588.69625533,3022495.73726967
"37",2844761.86081255,2928503.77257654,3031798.93265165,2797691.80092087,2691122.83815888,3133270.54853715,2861160.2794094,3026587.47993851,2655293.18956277,2753975.95364574,2866218.18904967,3199281.25809866,2983469.86598907,2962938.6855798,2979716.82450963,2866169.08802393,2997286.36026345,3241957.76796765,2798315.73328485,3556881.20827249,2795567.5331992,2951888.46107682,3494452.83579502,3076034.89865476,3054833.7470149
"38",2853672.40778161,2938024.69821089,3038271.6202556,2795137.37829491,2681453.29220623,3143460.97327033,2860812.45636141,3036181.67666984,2646385.75379894,2762424.41197113,2863555.62678027,3212520.58799259,3001321.4841585,2983776.69750942,2991072.90058031,2887444.18524497,3014208.44819987,3258371.12841,2814363.80329015,3569294.32594768,2800186.99661731,2964802.18978175,3509305.56193901,3089865.16764487,3066183.4911502
"39",2924694.04057228,3010288.09850966,3109851.68985721,2863520.22647361,2744365.92124016,3217141.39448506,2928865.52306457,3108519.74817322,2707791.99534583,2831918.20996954,2932420.79898188,3287039.5863603,3074557.63672454,3060915.22818684,3065277.53887043,2960717.23906692,3086901.86174122,3333049.21477139,2882247.15672027,3646989.25743402,2869701.92609696,3037276.27050095,3588542.01387902,3162769.26570202,3141616.4695368
"40",2883412.57103387,2964284.58208157,3073232.28516744,2817716.23810045,2698415.53941008,3175141.03884079,2884224.91521112,3062453.50303844,2663851.1257225,2782750.83302768,2890923.47316198,3243942.83750518,3036657.68108157,3011073.56971071,3015460.72872121,2918229.56769486,3057251.67689574,3296429.92052217,2845791.53330692,3621974.07595611,2823229.33607422,2990739.22035827,3555380.26152423,3133970.7430753,3094449.39845362
"41",2838042.46044421,2918800.94120389,3031603.68581279,2767445.99380351,2649133.44046981,3132504.20668155,2839092.57974441,3018522.7843177,2619199.78489648,2737840.87325146,2843072.57507044,3201481.64598397,2995593.3360707,2962194.90515335,2963766.65888428,2873874.68621515,3022756.15901036,3265392.56225101,2804555.24436866,3586850.41330596,2775748.87142604,2950149.42652457,3515803.91542302,3097304.82054784,3041610.4279088
"42",2824005.05231747,2901380.80358009,3022487.7901345,2742423.75007529,2625619.24875921,3118271.49941303,2820060.53648228,3001427.10572284,2601400.0861464,2716931.49173001,2822232.94857422,3188031.66830886,2992996.77376855,2941311.40795397,2933798.70647848,2868662.77710165,3028069.9822152,3271961.57691621,2810652.80916383,3590769.6699939,2755618.87062491,2941244.99757319,3504881.83449409,3099587.33685223,3012176.92932677
